"geo","time","population_aged_15_19_years_total_number"
"bdi",1950,233966
"bdi",1955,248052
"bdi",1960,265166
"bdi",1965,286784
"bdi",1970,369079
"bdi",1975,408887
"bdi",1980,447353
"bdi",1985,461914
"bdi",1990,494469
"bdi",1995,610917
"bdi",2000,741788
"bdi",2005,906999
"bdi",2010,1008568
"bdi",2015,1043598
"bdi",2020,1184736
"bdi",2025,1470671
"bdi",2030,1746457
"bdi",2035,1994023
"bdi",2040,2171725
"bdi",2045,2331343
"bdi",2050,2556997
"bdi",2055,2840430
"bdi",2060,3108988
"bdi",2065,3314804
"bdi",2070,3471255
"bdi",2075,3619315
"bdi",2080,3794033
"bdi",2085,3981150
"bdi",2090,4133173
"bdi",2095,4231593
"bdi",2100,4277774
"cod",1950,1236262
"cod",1955,1399747
"cod",1960,1599208
"cod",1965,1809588
"cod",1970,1998450
"cod",1975,2302674
"cod",1980,2683377
"cod",1985,3065840
"cod",1990,3552083
"cod",1995,4272036
"cod",2000,4881843
"cod",2005,5681378
"cod",2010,6670272
"cod",2015,7838913
"cod",2020,9466561
"cod",2025,11404940
"cod",2030,13377993
"cod",2035,15109020
"cod",2040,16845973
"cod",2045,18674683
"cod",2050,20449680
"cod",2055,22034804
"cod",2060,23307367
"cod",2065,24344733
"cod",2070,25217830
"cod",2075,25909804
"cod",2080,26505932
"cod",2085,26818535
"cod",2090,26941248
"cod",2095,26920009
"cod",2100,26717796
"ken",1950,623128
"ken",1955,636148
"ken",1960,664913
"ken",1965,896164
"ken",1970,1177237
"ken",1975,1425506
"ken",1980,1726358
"ken",1985,2096324
"ken",1990,2592468
"ken",1995,3162888
"ken",2000,3749256
"ken",2005,4212380
"ken",2010,4401886
"ken",2015,5164150
"ken",2020,5860572
"ken",2025,6555850
"ken",2030,6847897
"ken",2035,7289523
"ken",2040,7741947
"ken",2045,8199474
"ken",2050,8584668
"ken",2055,8856403
"ken",2060,9043969
"ken",2065,9203850
"ken",2070,9312663
"ken",2075,9369646
"ken",2080,9369145
"ken",2085,9304693
"ken",2090,9169941
"ken",2095,9017083
"ken",2100,8869749
"rwa",1950,246658
"rwa",1955,238429
"rwa",1960,259655
"rwa",1965,334218
"rwa",1970,424014
"rwa",1975,496393
"rwa",1980,537595
"rwa",1985,607978
"rwa",1990,748313
"rwa",1995,720000
"rwa",2000,1005348
"rwa",2005,1135373
"rwa",2010,1035677
"rwa",2015,1207396
"rwa",2020,1385195
"rwa",2025,1586916
"rwa",2030,1688719
"rwa",2035,1738672
"rwa",2040,1771120
"rwa",2045,1834412
"rwa",2050,1918215
"rwa",2055,1974690
"rwa",2060,1974409
"rwa",2065,1932769
"rwa",2070,1884294
"rwa",2075,1847286
"rwa",2080,1812847
"rwa",2085,1773364
"rwa",2090,1716615
"rwa",2095,1653852
"rwa",2100,1595249
"ssd",1950,264080
"ssd",1955,291120
"ssd",1960,321853
"ssd",1965,343766
"ssd",1970,332567
"ssd",1975,399628
"ssd",1980,476848
"ssd",1985,570497
"ssd",1990,600319
"ssd",1995,560879
"ssd",2000,673853
"ssd",2005,858269
"ssd",2010,1093512
"ssd",2015,1304625
"ssd",2020,1461643
"ssd",2025,1637812
"ssd",2030,1808811
"ssd",2035,1991497
"ssd",2040,2164857
"ssd",2045,2315542
"ssd",2050,2447033
"ssd",2055,2570337
"ssd",2060,2691462
"ssd",2065,2801858
"ssd",2070,2892968
"ssd",2075,2960567
"ssd",2080,3009565
"ssd",2085,3045387
"ssd",2090,3068965
"ssd",2095,3077095
"ssd",2100,3066006
"tza",1950,796937
"tza",1955,910525
"tza",1960,1048236
"tza",1965,1229186
"tza",1970,1383480
"tza",1975,1652518
"tza",1980,1944033
"tza",1985,2297494
"tza",1990,2722840
"tza",1995,3255384
"tza",2000,3741388
"tza",2005,4225087
"tza",2010,4890764
"tza",2015,5652023
"tza",2020,6783852
"tza",2025,7953251
"tza",2030,9165662
"tza",2035,10200387
"tza",2040,11347267
"tza",2045,12619546
"tza",2050,13933386
"tza",2055,15190507
"tza",2060,16367365
"tza",2065,17455127
"tza",2070,18520855
"tza",2075,19566604
"tza",2080,20506757
"tza",2085,21370903
"tza",2090,22100408
"tza",2095,22718407
"tza",2100,23249362
"uga",1950,560269
"uga",1955,537750
"uga",1960,675207
"uga",1965,802232
"uga",1970,984199
"uga",1975,1121714
"uga",1980,1308469
"uga",1985,1548962
"uga",1990,1844235
"uga",1995,2202138
"uga",2000,2619278
"uga",2005,3133004
"uga",2010,3777132
"uga",2015,4487082
"uga",2020,5358530
"uga",2025,6249073
"uga",2030,7139314
"uga",2035,8085724
"uga",2040,9069678
"uga",2045,10053037
"uga",2050,10974302
"uga",2055,11813834
"uga",2060,12591442
"uga",2065,13300276
"uga",2070,13936686
"uga",2075,14473513
"uga",2080,14899777
"uga",2085,15232984
"uga",2090,15474862
"uga",2095,15622644
"uga",2100,15688736
